Gene_Symbol,U_statistic,P_value,FDR
TSPAN6,92628.0,0.031005097788963865,
TNMD,91102.0,0.012740356192144696,
DPM1,102100.0,0.9304376877202253,
SCYL3,107942.5,0.23439102752777907,
FIRRM,109945.0,0.10380358100335599,
FGR,103782.5,0.7793793148813141,
CFH,90039.0,0.006474574190040074,
FUCA2,100099.5,0.5999860650028696,
GCLC,90474.5,0.00859982879760524,
NFYA,103302.0,0.8609738615729735,
STPG1,100699.0,0.6940058381986917,
NIPAL3,92328.0,0.026245493206949022,
LAS1L,115829.5,0.0035854740998115258,
ENPP4,94830.0,0.09376729961825418,
SEMA3F,120471.5,8.607728850296815e-05,
CFTR,95453.0,0.1236196243870063,
ANKIB1,97472.0,0.27196361292103777,
CYP51A1,114102.5,0.011240346654875995,
KRIT1,102119.0,0.9337382196854386,
RAD52,97592.0,0.283571474655824,
BAD,118630.5,0.00042421372637263516,
LAP3,112031.0,0.0372972019174512,
CD99,100192.0,0.6141148644193978,
HS3ST1,96553.5,0.19385744146062722,
AOC1,106181.5,0.4212059451786997,
WNT16,106694.0,0.3591172802847654,
HECW1,97315.0,0.25727281851247497,
MAD1L1,111502.0,0.049193658779463724,
LASP1,118848.0,0.0003541724455034248,
SNX11,105331.0,0.5362533822881185,
TMEM176A,100660.0,0.6877233992867853,
M6PR,105402.5,0.5260078312786389,
KLHL13,88575.5,0.002346113558856,
CYP26B1,87446.5,0.0010046919457872626,
ICA1,111670.5,0.04509968400577513,
DBNDD1,113426.0,0.016971928751603256,
ALS2,91048.5,0.012344452411871496,
CASP10,93782.0,0.05679977774743772,
CFLAR,90726.0,0.010093468678545865,
TFPI,82530.0,1.2799389852543437e-05,
NDUFAF7,97377.0,0.26300783759196356,
RBM5,103211.5,0.87653784055128,
MTMR7,104985.5,0.587133973395997,
SLC7A2,108358.0,0.20057541650103328,
ARF5,118236.0,0.0005852891399985579,
SARM1,106483.0,0.3841853967628416,
POLDIP2,110269.5,0.0895846005295195,
PLXND1,96216.0,0.16975279781384578,
AK2,108254.5,0.2086456481746407,
CD38,106261.5,0.41118460249049205,
FKBP4,116895.0,0.001659044102675293,
KDM1A,107906.0,0.23754391882188286,
RBM6,105531.5,0.5077793236282906,
CAMKK1,98631.5,0.39800412084286574,
RECQL,93636.0,0.05277582857970572,
VPS50,97598.0,0.28416055352692304,
HSPB6,84885.0,0.0001186400283567533,
ARHGAP33,117465.5,0.0010755482082681215,
NDUFAB1,110413.0,0.08381822485561707,
PDK4,89839.0,0.005667416095009277,
SLC22A16,103003.5,0.9124235803423161,
ZMYND10,123001.5,7.476759470797043e-06,
ABCB5,86532.0,0.00048292351316439033,
ARX,101889.0,0.8937259017837121,
SLC25A13,98048.5,0.33076127952318046,
ST7,105783.5,0.47314975423364825,
CDC27,90996.5,0.011953842225880995,
SLC4A1,90992.5,0.011210608041024507,
CALCR,92424.0,0.027692987891319062,
HCCS,97126.0,0.2403326380647237,
DVL2,110545.5,0.07876428842501423,
PRSS22,110899.5,0.06646813099323268,
UPF1,116404.5,0.0023804093068703156,
SKAP2,87739.0,0.0012584263662566144,
SLC25A5,110354.0,0.08615161301632492,
MCUB,109129.0,0.14750967961435674,
HOXA11,105997.0,0.44485805944814394,
POLR2J,114591.0,0.008244780481687995,
DHX33,92707.5,0.03238420401574141,
MEOX1,93951.5,0.06178838120551614,
THSD7A,87526.0,0.0010685065505732262,
LIG3,112759.5,0.024982101206161334,
RPAP3,104290.5,0.6957009034227111,
ACSM3,95451.0,0.12352190399317989,
REXO5,108544.0,0.18664927290368383,
CIAPIN1,104131.0,0.7216322232336876,
SPPL2B,115471.5,0.004592984504894981,
ATOSB,100136.5,0.6056199358745809,
COPZ2,96120.5,0.1633580358746448,
PRKAR2B,86342.0,0.00041469335105407567,
MSL3,95107.5,0.10626407087142462,
CREBBP,102285.5,0.9627038459552845,
